status,family,upstream,fontfiles prefix,Notes
?,cedarvillecursive,,,
?,cevicheone,,,
?,changa,,,
?,changaone,,,
?,chango,,,
?,chauphilomeneone,,,
?,chelaone,,,
?,chelseamarket,,,
?,chenla,,,
?,cherrycreamsoda,,,
?,cherryswash,,,
?,chewy,,,
?,chicle,,,
OK,chivo,https://github.com/Omnibus-Type/Chivo,Fonts/Chivo-,
OK,Chonburi,https://github.com/cadsondemak/chonburi.git,fonts/Chonburi-,
?,cinzel,,,
?,cinzeldecorative,,,
?,clara,,,
?,clickerscript,,,
NOTE,Coda,https://github.com/vernnobile/CodaFont,coda/in-progress/Regular/Coda,"Coda's repo has a bad tree structure (one weight per folder). There's also a ""Heavy""."
?,codacaption,,,
?,codystar,,,
?,combo,,,
OK,comfortaa,https://github.com/alexeiva/comfortaa,fonts/TTF/Comfortaa-,
?,comingsoon,,,
?,concertone,,,
?,condiment,,,
?,content,,,
?,contrailone,,,
?,convergence,,,
?,cookie,,,
?,copse,,,
?,corben,,,
OK,Cormorant,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/Cormorant-,
OK,Cormorant Garamond,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/CormorantGaramond-,
OK,Cormorant Infant,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/CormorantInfant-,
OK,Cormorant SC,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/CormorantSC-,
OK,Cormorant Unicase,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/CormorantUnicase-,
OK,Cormorant Upright,https://github.com/CatharsisFonts/Cormorant.git,1. TrueType Font Files/CormorantUpright-,
?,courgette,,,
?,cousine,,,
?,coustard,,,
?,coveredbyyourgrace,,,
?,craftygirls,,,
?,creepster,,,
?,creepstercaps,,,
?,creteround,,,
?,crimsontext,,,
?,croissantone,,,
?,crushed,,,
OK,Cuprum,https://github.com/alexeiva/cuprum,fonts/ttf/Cuprum-,
?,cutive,,,
NOTE,Cutive Mono,https://github.com/googlefonts/CutiveFont.git,fonts/CutiveMono-,There's also an old Cultive Roman on the upstream repo at: https://github.com/vernnobile/CutiveFont/tree/master/CutiveRoman
?,cwtexfangsong,,,
?,cwtexhei,,,
?,cwtexkai,,,
?,cwtexming,,,
?,cwtexyen,,,
?,damion,,,
OK,Dancing Script,https://github.com/impallari/DancingScript,fonts/ttf/DancingScript-,
?,dangrek,,,
OK,David Libre,https://github.com/meirsadan/david-libre,03_output/DavidLibre-,
?,dawningofanewday,,,
?,daysone,,,
OK,Dekko,https://github.com/EbenSorkin/Dekko.git,Dekko-,
?,delius,,,
?,deliusswashcaps,,,
?,deliusunicase,,,
?,dellarespira,,,
?,denkone,,,
?,devonshire,,,
UFO,Dhurjati,https://github.com/appajid/dhurjati,Dhurjati,
NOTE,Dhyana,https://github.com/vernnobile/DhyanaFont,Regular/Dhyana,
OK,Didact Gothic,https://github.com/ossobuffo/didact-gothic,fonts/DidactGothic-,
GH-PAGES,Digital Numbers,https://github.com/s-a/digital-numbers-font,gh-pages/dist/DigitalNumbers-,
OK,Dinah,https://github.com/elms-/Dinah,DINAHv1.3/DINAH,
?,diplomata,,,
?,diplomatasc,,,
?,domine,,,
?,donegalone,,,
?,doppioone,,,
?,dorsa,,,
OTF,dosis,https://github.com/impallari/Dosis,fonts/v2031b/Dosis-v2031b-,
?,droidarabickufi,,,
?,droidarabicnaskh,,,
?,droidsans,,,
?,droidsansethiopic,,,
?,droidsansjapanese,,,
?,droidsansmono,,,
?,droidsanstamil,,,
?,droidsansthai,,,
?,droidserif,,,
?,droidserifthai,,,
?,drsugiyama,,,
?,durusans,,,
?,dynalight,,,
?,eaglelake,,,
?,eater,,,
?,eatercaps,,,
?,ebgaramond,,,
?,economica,,,
TTX,Eczar,https://github.com/rosettatype/Eczar,fonts/ttf/Eczar-,
OK,Ek-Mukta,https://github.com/googlefonts/MuktaGFVersion.git,fonts/EkMukta-,
OK,Ek-Mukta Mukta Devanagari,https://github.com/googlefonts/MuktaGFVersion.git,fonts/Mukta-,
OK,Ek-Mukta MuktaMalar Tamil,https://github.com/googlefonts/MuktaGFVersion.git,fonts/MuktaMalar-,
OK,Ek-Mukta MuktaVaani Gujarati,https://github.com/googlefonts/MuktaGFVersion.git,fonts/MuktaVaani-,
?,electrolize,,,
?,elsie,,,
?,elsieswashcaps,,,
?,emblemaone,,,
?,emilyscandy,,,
OK,Encode Sans,https://github.com/impallari/Encode-Sans,fonts/EncodeSans-,
?,encodesanscompressed,https://github.com/impallari/Encode-Sans,,
OK,Encode Sans Condensed,https://github.com/impallari/Encode-Sans,fonts/EncodeSansCondensed-,
OK,Encode Sans Expanded,https://github.com/impallari/Encode-Sans,fonts/EncodeSansExpanded-,
?,encodesansnarrow,https://github.com/impallari/Encode-Sans,,
OK,Encode Sans Semi-Condensed,https://github.com/impallari/Encode-Sans,fonts/EncodeSansSemiCondensed-,
OK,Encode Sans Semi-Expanded,https://github.com/impallari/Encode-Sans,fonts/EncodeSansSemiExpanded-,
?,encodesansvfbeta,https://github.com/impallari/Encode-Sans,,
?,encodesanswide,https://github.com/impallari/Encode-Sans,,
?,engagement,,,
?,englebert,,,
?,enriqueta,,,
?,ericaone,,,
