status,family,upstream,fontfiles prefix,Notes
NOTE,Ranga,https://github.com/antonxheight/Ranga,Ranga-, # BAD: NON-CANONICAL NAMES.
?,rationale,,,
UFO,Raviprakash,https://github.com/appajid/raviprakash,RaviPrakash,
OK,Redacted,https://github.com/christiannaths/Redacted-Font.git,src/Redacted-,
?,redactedscript,,,
?,redressed,,,
?,reeniebeanie,,,
?,revalia,,,
OK,Rhodium Libre,https://github.com/DunwichType/RhodiumLibre.git,RhodiumLibre-,
?,ribeye,,,
?,ribeyemarrow,,,
?,righteous,,,
?,risque,,,
SOURCE-ONLY,roboto,https://github.com/google/roboto,,
SOURCE-ONLY,robotocondensed,https://github.com/google/roboto,,
?,robotomono,,,
?,robotoslab,,,
?,rochester,,,
?,rocksalt,,,
OK,Rokkitt,https://github.com/googlefonts/RokkittFont.git,fonts/TTF/Rokkitt-,
?,rokkittvfbeta,,,
?,romanesco,,,
UFO,Ropa Sans,https://github.com/googlefonts/Ropa-Sans.git,Ropa Sans Adobe L3/FontLab Adobe Latin3/FontLab UFOs/RopaSans-,
?,rosario,,,
?,rosarivo,,,
?,rougescript,,,
?,roundedmplus1c,,,
OTF,Rozhaone,https://github.com/itfoundry/rozhaone,build/RozhaOne-,
OK,Rubik,https://github.com/googlefonts/rubik.git,fonts/ttf/Rubik-,
OK,Rubik Mono One,https://github.com/alexeiva/rubikmonoone,fonts/RubikMonoOne-,
?,rubikone,,,
?,ruda,,,
?,rufina,,,
?,rugeboogie,,,
?,ruluko,,,
?,rumraisin,,,
?,ruslandisplay,,,
?,russoone,,,
?,ruthie,,,
?,rye,,,
?,sacramento,,,
OK,Sahitya,https://github.com/juandelperal/sahitya,ttf/Sahitya-,
?,sail,,,
TTX,Saira,https://github.com/Omnibus-Type/Saira,fonts/ttf/Saira-,
?,sairacondensed,,,
?,sairaextracondensed,,,
?,sairasemicondensed,,,
?,salsa,,,
?,sanchez,,,
?,sancreek,,,
?,sansation,,,
OK,Sansita,https://github.com/Omnibus-Type/Sansita,Fonts/Sansita-,
?,sansitaone,,,
?,sarabun,,,
OK,Sarala,https://github.com/huertatipografica/sarala.git,font/Sarala-,
?,sarina,,,
?,sarpanch,,,
?,satisfy,,,
?,sawarabigothic,,,
?,sawarabimincho,,,
OK,Scada,https://github.com/googlefonts/scada.git,fonts/ttf/Scada-,
?,scheherazade,,,
?,schoolbell,,,
?,seaweedscript,,,
?,sedan,,,
?,sedansc,,,
?,seoulhangang,,,
?,seoulhangangcondensed,,,
?,seoulnamsan,,,
?,seoulnamsancondensed,,,
?,seoulnamsanvertical,,,
?,sevillana,,,
?,seymourone,,,
?,shadowsintolight,,,
?,shadowsintolighttwo,,,
?,shanti,,,
?,share,,,
?,sharetech,,,
?,sharetechmono,,,
?,shojumaru,,,
?,shortstack,,,
?,siamreap,,,
?,siemreap,,,
OK,SigmarOne,https://github.com/googlefonts/sigmarone.git,fonts/SigmarOne-,
?,signika,,,
?,signikanegative,,,
?,simonetta,,,
?,sintony,,,
?,sirinstencil,,,
404-ERROR,Sitara,https://github.com/Neelakash/sitara,,
?,sixcaps,,,
?,skranji,,,
?,slabo13px,,,
?,slabo27px,,,
NOTE,Slabo,https://github.com/TiroTypeworks/Slabo,TTFs/Slabo,# BAD: NON-CANONICAL NAMES.
?,slackey,,,
?,smokum,,,
?,smythe,,,
?,sniglet,,,
?,snippet,,,
?,snowburstone,,,
?,sofadione,,,
?,sofia,,,
?,sonsieone,,,
?,sortsmillgoudy,,,
?,souliyo,,,
?,sourcecodepro,,,
?,sourcesanspro,,,
OK,Source Serif Pro,https://github.com/googlefonts/SourceSerifProGFVersion.git,fonts/SourceSerifPro-,
OK,Space Mono,https://github.com/googlefonts/spacemono.git,fonts/SpaceMono-,
?,specialelite,,,
?,spicyrice,,,
?,spinnaker,,,
?,spirax,,,
?,squadaone,,,
UFO,Sreekrushnadevaraya,https://github.com/appajid/sreekrushnadevaraya,SreeKrushnadevaraya,
OK,Sriracha,https://github.com/cadsondemak/sriracha.git,fonts/Sriracha-,
?,stalemate,,,
?,stalinistone,,,
?,stalinone,,,
?,stardosstencil,,,
?,stintultracondensed,,,
?,stintultraexpanded,,,
?,stoke,,,
?,strait,,,
?,strong,,,
?,sueellenfrancisco,,,
OK,Sumana,https://github.com/cyrealtype/Sumana.git,Sumana-,
?,sunshiney,,,
?,supermercadoone,,,
OK,Sura,https://github.com/huertatipografica/sura.git,fonts/Sura-,
UFO,Suranna,https://github.com/appajid/suranna,Suranna,
UFO,Suravaram,https://github.com/appajid/suravaram,Suravaram,
?,suwannaphum,,,
?,swankyandmoomoo,,,
?,syncopate,,,
?,tangerine,,,
?,taprom,,,
?,tauri,,,
?,teko,,,
?,telex,,,
UFO,Tenaliramakrishna,https://github.com/appajid/tenaliramakrishna,TenaliRamakrishna-,
?,tenorsans,,,
?,terminaldosis,,,
?,terminaldosislight,,,
?,textmeone,,,
?,thabit,,,
?,tharlon,,,
?,thegirlnextdoor,,,
?,tienne,,,
OTF,Tillana,https://github.com/itfoundry/tillana,build/Tillana-,
NOTE,Timmana,https://github.com/appajid/timmana,TimmanaRegular,# BAD: NON-CANONICAL NAME.
?,tinos,,,
?,titanone,,,
?,titilliumweb,,,
?,tradewinds,,,
NOTE,Trocchi,https://github.com/vernnobile/TrocchiFont,Regular/Trocchi,# BAD: NON-CANONICAL NAME.
?,trochut,,,
?,trykker,,,
?,tuffy,,,
?,tulpenone,,,
?,ubuntu,,,
?,ubuntucondensed,,,
?,ubuntumono,,,
?,ultra,,,
?,uncialantiqua,,,
?,underdog,,,
?,unicaone,,,
?,unifrakturcook,,,
?,unifrakturmaguntia,,,
?,unkempt,,,
?,unlock,,,
OK,Unna,https://github.com/Omnibus-Type/Unna,Fonts/Unna-,
?,vampiroone,,,
?,varela,,,
OK,Varela Round Hebrew,https://github.com/alefalefalef/Varela-Round-Hebrew.git,fonts/VarelaRound-,
OK,Varta,https://github.com/EbenSorkin/Varta.git,Varta-,
?,vastshadow,,,
OK,Vesper Libre,https://github.com/motaitalic/vesper-libre,VesperLibre-,
?,vibur,,,
?,vidaloka,,,
?,viga,,,
?,voces,,,
?,volkhov,,,
OK,Vollkorn,https://github.com/FAlthausen/Vollkorn-Typeface,fonts/Vollkorn-,
?,voltaire,,,
OK,VT323,https://github.com/phoikoi/VT323,fonts/ttf/VT323-,
?,waitingforthesunrise,,,
?,wallpoet,,,
?,walterturncoat,,,
?,warnes,,,
?,wellfleet,,,
?,wendyone,,,
?,wireone,,,
NOTE,Work Sans,https://github.com/weiweihuanghuang/Work-Sans,fonts/webfonts/ttf/WorkSans-,There's also https://github.com/googlefonts/Work-Sans but the above repo seems more up-to-date.
OK,Yaldevi Colombo,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/YaldeviColombo-,
OK,Yaldevi Jaffna,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/YaldeviJaffna-,
OK,Yanone Kaffeesatz,https://github.com/alexeiva/yanone-kaffeesatz,fonts/ttf/YanoneKaffeesatz-,
?,yanonekaffeesatzvfbeta,,,
OTF,Yantramanav,https://github.com/erinmclaughlin/Yantramanav,otf/Yantramanav-,
?,yellowtail,,,
OK,Yeseva One,https://github.com/alexeiva/yesevaone,fonts/YesevaOne-,
?,yesteryear,,,
?,yinmar,,,
?,zeyada,,,
NOT-ON-GFONTS,Datalegreya,,,"# Not on GFonts: [""OTF"", ""Datalegreya"", ""https://github.com/figs-lab/datalegreya"", """"], # sources with OTF binaries, but no TTFs."
?,Fira Sans,,,"# [""NOTE"", ""Fira"", ""https://github.com/mozilla/Fira"", ""ttf/FiraSans-""],  # Note: The above has got good names, but also some extra like ""FiraSans-BookItalic.ttf""  #       (may be treated as a separate family?)  # Note2: The upstream version (commented out repo above) seems to be updated more frequently,  #        but does not fit Google Fonts naming scheme, so we'll run checks on each individual  #        family form the Google Fonts version available on the repos below:"
NOT-ON-GFONTS,Silson,,,"# Not on GFonts:  [""OK"", ""Silson"", ""https://github.com/simoncozens/silson"", ""output/ttf/hinted/SilsonCondensed-""],"
